Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
26839998,0.271923,3.9,3008,13,6,3.5,0,74.291725,0.97680104,7.45098,1.1428572,17.647058,117
30729998,0.27379167,3.9,2947,13,6,11.62,0,74.66449,3.3283207,22.745098,3.7942858,18.039215,114
26529998,0.2747508,4,2903,0,6,4.55,0,75.14302,1.3032582,11.372549,1.4857143,18.039215,114
31319998,0.28227794,4.1,2795,13,6,26.97,0,75.66327,8.154195,78.43137,8.806531,17.647058,108
34960000,0.28893286,4.2,2881,12,6,32.74,0,76.06588,9.631183,81.17647,10.690613,17.254902,111
35010000,0.29637694,4.2,2976,12,6,40.73,0,76.451294,11.666308,83.13725,13.299592,17.254902,114
35340000,0.30105612,4.3,3024,12,6,28.82,0,76.81382,8.043259,60.39216,9.410612,17.254902,117
34920000,0.30631894,4.3,3026,12,6,28.18,0,77.222466,7.864643,54.901962,9.2016325,17.254902,117
27399998,0.30672893,4.4,2897,13,6,2.5,0,77.53908,0.7224128,7.0588236,0.8163265,16.862745,113
25029998,0.3074157,4.5,2822,13,6,4.19,0,77.82446,1.243785,10.980392,1.3681635,17.254902,110
33499998,0.3149238,4.5,2874,12,6,46.27,0,78.1093,13.611326,90.588234,15.108572,17.254902,111
35000000,0.3217093,4.6,2973,12,6,42.53,0,78.41917,12.0759535,89.01961,13.887347,17.254902,115
35340000,0.3285346,4.6,3048,11,6,41.62,0,78.75758,11.517121,83.92157,13.590203,17.254902,118
35350000,0.33551523,4.7,3061,12,6,31.4,0,79.20817,8.689036,58.039215,10.253062,16.862745,118
34730000,0.33987504,4.8,3064,12,6,24.13,0,79.57496,6.621163,61.17647,7.879184,17.254902,119
35410000,0.34552735,4.8,3083,11,6,33.96,0,79.90739,9.31847,62.35294,11.088979,17.254902,119
34960000,0.35379082,4.9,3157,11,0,37.74,0,80.369354,10.101037,79.60784,12.323266,17.254902,122
34340000,0.35468897,5,3213,11,6,3.61,0,80.91866,0.94302034,16.470589,1.1787754,16.862745,125
35320000,0.36416328,5.1,3276,11,6,38.99,0,81.46602,10.024748,72.94118,12.73143,16.862745,127
30099998,0.36512992,5.2,3283,11,6,5.35,0,81.873955,1.3647959,9.019608,1.7469388,16.862745,128
34760000,0.37237653,5.2,3262,11,6,44.96,0,82.2164,11.651442,76.47059,14.680817,16.862745,126
35190000,0.37736169,5.3,3279,11,6,28.07,0,82.59492,7.2170978,43.137257,9.165714,17.254902,127
26369998,0.37800977,5.4,3204,12,6,3.86,0,82.93229,1.0083265,8.235294,1.2604082,17.647058,125
24459998,0.37889695,5.4,3135,12,6,4.79,0,83.280334,1.271611,9.019608,1.5640815,17.254902,123
